Bar Pressure(Bar Pressure);Nitrogen Dioxide(NO2);PM 10(RSPM);PM 2.5(PM2.5);Solar Radiation(SR);Sulfur Dioxide(SO2);Temperature(TEMP);index
739.13;77.87;166.35;;;4.61;14.99;11/12/2011
737.84;79.97;280.35;;;15.18;11.36;12/01/2011
737.34;19.68;180.38;;;7.58;17.17;12/02/2011
738.17;17.99;139.84;;;5.92;19.81;12/03/2011
735.53;14.82;223.34;;;7.72;25.83;12/04/2011
728.69;13.81;250.0;;;3.67;35.48;12/05/2011
727.55;13.35;151.74;;;2.6;31.94;12/06/2011
727.21;29.98;118.61;;;5.8;30.64;12/07/2011
727.0;28.53;36.71;;;3.7;27.36;12/08/2011
730.38;27.65;57.9;;;3.49;29.09;12/09/2011
737.18;;;;;;27.37;12/10/2011
737.62;88.76;179.44;;;14.23;22.07;12/11/2011
711.2;126.53;212.99;;;5.76;14.23;12/12/2011
737.61;118.62;310.96;;;15.05;14.74;13/01/2011
735.6;12.31;265.97;;;11.54;20.19;13/02/2011
737.46;24.54;189.57;;;5.95;20.67;13/03/2011
735.98;16.59;168.02;;;8.37;26.31;13/04/2011
731.07;11.08;196.85;;;3.71;30.92;13/05/2011
728.17;18.43;124.69;;;2.8;33.41;13/06/2011
727.12;17.44;63.39;;;5.59;31.34;13/07/2011
727.84;26.23;55.86;;;3.36;29.16;13/08/2011
730.93;30.65;84.31;;;4.47;29.93;13/09/2011
735.85;;;;;;26.49;13/10/2011
738.61;104.99;195.54;;;19.85;21.71;13/11/2011
741.2;132.7;253.59;;;6.49;13.49;13/12/2011
736.7;63.19;237.68;;;14.6;16.59;14/01/2011
735.71;;107.92;;;9.46;17.76;14/02/2011
736.85;22.21;173.15;;;5.69;21.72;14/03/2011
734.95;16.77;135.1;;;5.82;27.59;14/04/2011
730.73;14.04;203.86;;;4.7;36.4;14/05/2011
726.82;46.76;187.85;;;3.32;35.04;14/06/2011
726.7;22.2;63.24;;;5.31;29.37;14/07/2011
724.88;18.45;44.38;;;3.18;28.29;14/08/2011
730.11;31.22;113.81;;;3.68;30.31;14/09/2011
735.23;;;;;;27.73;14/10/2011
739.15;178.75;271.81;;;37.02;20.8;14/11/2011
741.22;104.57;224.32;;;5.45;12.72;14/12/2011
738.42;50.26;191.04;;;9.02;14.46;15/01/2011
736.2;;48.83;;;5.44;15.78;15/02/2011
737.85;22.06;214.98;;;6.43;23.31;15/03/2011
733.84;27.86;235.29;;;6.1;28.33;15/04/2011
731.7;12.64;214.55;;;3.61;34.46;15/05/2011
727.28;6.33;75.41;;;2.8;29.85;15/06/2011
726.81;22.35;49.23;;;5.03;27.72;15/07/2011
727.0;13.21;23.79;;;3.3;26.37;15/08/2011
729.93;33.39;56.58;;;4.34;26.91;15/09/2011
734.74;;;;;;26.55;15/10/2011
739.44;136.74;315.86;;;28.59;21.15;15/11/2011
741.3;135.55;194.81;;;6.35;12.6;15/12/2011
739.74;32.78;181.66;;;8.42;11.2;16/01/2011
737.5;1.3;72.87;;;6.69;15.85;16/02/2011
736.13;19.49;222.77;;;6.47;23.61;16/03/2011
734.95;17.48;280.59;;;6.03;27.96;16/04/2011
733.47;13.58;427.99;;;4.77;34.41;16/05/2011
726.0;4.48;132.06;;;3.06;31.21;16/06/2011
727.24;24.57;54.34;;;5.42;29.07;16/07/2011
727.93;21.53;33.74;;;3.22;26.11;16/08/2011
730.3;45.98;69.82;;;3.96;27.8;16/09/2011
735.5;;;;;;25.59;16/10/2011
738.16;106.9;287.21;;;18.38;21.03;16/11/2011
741.39;134.9;272.42;;;7.18;11.9;16/12/2011
737.72;55.59;184.1;;;8.54;11.49;17/01/2011
739.59;;110.31;;;5.18;14.06;17/02/2011
734.23;21.98;206.52;;;5.02;23.65;17/03/2011
734.78;9.8;131.15;;;4.21;25.67;17/04/2011
732.83;22.24;308.49;;;3.62;35.32;17/05/2011
725.11;4.57;147.39;;;3.18;30.16;17/06/2011
726.9;22.17;47.06;;;5.4;28.99;17/07/2011
728.65;21.99;53.28;;;2.75;27.96;17/08/2011
730.0;30.37;52.61;;;4.39;27.69;17/09/2011
735.87;;;;;;19.74;17/10/2011
738.06;108.35;288.1;;;17.25;20.92;17/11/2011
741.17;126.69;260.46;;;6.06;12.0;17/12/2011
737.87;99.94;271.52;;;12.56;12.92;18/01/2011
738.87;;128.0;;;5.39;14.5;18/02/2011
731.86;36.5;249.56;;;6.5;25.79;18/03/2011
734.47;11.62;105.46;;;3.92;25.97;18/04/2011
730.32;9.94;244.48;;;3.39;35.34;18/05/2011
726.45;4.24;112.4;;;4.09;31.03;18/06/2011
726.36;18.83;39.2;;;5.29;29.09;18/07/2011
728.99;26.7;75.33;;;6.54;29.07;18/08/2011
730.36;21.79;73.71;;;3.98;27.93;18/09/2011
736.06;88.9;247.74;;;5.89;27.71;18/10/2011
737.82;126.66;274.21;;;23.82;21.05;18/11/2011
741.68;113.56;237.07;;;8.03;13.34;18/12/2011
738.19;37.02;190.76;;;10.22;11.56;19/01/2011
740.49;;203.51;;;7.46;15.6;19/02/2011
729.89;20.43;244.55;;;5.1;25.6;19/03/2011
734.37;12.33;125.77;;;4.33;26.45;19/04/2011
727.98;5.13;132.19;;;3.54;34.93;19/05/2011
725.85;4.18;92.95;;;3.6;30.28;19/06/2011
724.31;42.4;78.77;;;4.3;30.48;19/07/2011
730.08;110.43;76.27;;;3.51;26.91;19/08/2011
732.52;30.17;110.16;;;3.82;28.39;19/09/2011
734.8;110.83;240.71;;;7.03;24.38;19/10/2011
738.86;108.88;266.01;;;12.65;20.8;19/11/2011
741.27;;;;;;12.41;19/12/2011
740.2;18.4;224.95;;;11.91;11.7;20/01/2011
741.0;;229.48;;;7.71;15.98;20/02/2011
731.04;5.65;190.83;;;4.77;24.71;20/03/2011
734.74;13.36;160.79;;;5.57;26.95;20/04/2011
726.81;2.73;159.68;;;1.84;32.23;20/05/2011
726.96;4.39;117.17;;;3.07;31.62;20/06/2011
724.17;41.51;114.54;;;1.68;31.36;20/07/2011
731.98;38.33;;;;2.94;28.68;20/08/2011
733.12;31.47;130.19;;;3.68;28.11;20/09/2011
734.58;166.29;322.64;;;7.03;24.02;20/10/2011
740.48;115.59;294.5;;;22.2;19.52;20/11/2011
740.83;;;;;;9.83;20/12/2011
740.23;;264.12;;;13.61;13.46;21/01/2011
742.08;8.13;88.64;;;5.5;14.28;21/02/2011
734.74;8.17;166.27;;;4.84;21.87;21/03/2011
734.93;18.12;209.32;;;5.34;28.16;21/04/2011
727.17;5.57;182.78;;;2.24;27.41;21/05/2011
727.04;4.85;159.59;;;4.14;32.93;21/06/2011
725.95;34.9;128.47;;;1.78;30.44;21/07/2011
731.93;21.5;;;;3.06;30.27;21/08/2011
731.82;26.95;155.68;;;4.37;28.26;21/09/2011
735.87;171.75;426.79;;;9.45;24.14;21/10/2011
741.47;170.73;403.38;;;49.87;20.12;21/11/2011
740.13;;207.27;;;10.55;14.71;22/01/2011
740.77;15.13;127.8;;;6.0;14.71;22/02/2011
735.23;14.41;173.5;;;6.38;23.24;22/03/2011
734.55;14.15;207.51;;;3.93;28.13;22/04/2011
730.46;13.52;87.92;;;1.86;24.55;22/05/2011
726.19;4.59;138.5;;;3.23;33.24;22/06/2011
725.96;37.1;161.11;;;1.32;30.41;22/07/2011
731.25;33.53;;;;3.14;31.44;22/08/2011
732.36;30.5;149.19;;;3.96;28.32;22/09/2011
736.84;66.34;357.28;;;5.68;24.4;22/10/2011
740.92;174.22;332.71;;;43.8;20.63;22/11/2011
741.06;;193.88;;;24.83;15.02;23/01/2011
740.3;60.84;287.19;;;7.69;17.93;23/02/2011
735.71;24.78;237.42;;;6.79;25.34;23/03/2011
732.86;26.83;167.21;;;3.88;31.2;23/04/2011
730.74;18.93;168.63;;;2.05;29.08;23/05/2011
725.77;4.17;96.93;;;7.76;33.53;23/06/2011
727.12;39.48;72.35;;;1.8;29.28;23/07/2011
730.64;30.82;40.13;;;3.26;28.41;23/08/2011
731.83;30.51;147.22;;;4.27;27.94;23/09/2011
737.38;55.87;334.8;;;11.14;24.63;23/10/2011
740.91;143.89;256.24;;;32.04;20.28;23/11/2011
739.79;111.78;226.18;;;7.06;13.85;23/12/2011
741.36;;219.43;;;16.37;13.46;24/01/2011
739.44;35.34;316.05;;;8.73;17.38;24/02/2011
735.75;14.51;167.07;;;6.46;24.62;24/03/2011
732.26;38.24;272.13;;;4.98;30.19;24/04/2011
729.43;16.99;223.72;;;1.85;33.0;24/05/2011
725.3;2.88;81.76;;;3.1;33.67;24/06/2011
729.26;23.57;34.73;;;1.63;29.53;24/07/2011
731.05;21.82;37.54;;;3.15;26.86;24/08/2011
732.17;25.82;126.29;;;4.35;27.91;24/09/2011
737.49;43.76;293.68;;;7.67;24.65;24/10/2011
741.29;138.78;207.77;;;32.88;19.77;24/11/2011
739.98;115.38;272.26;;;6.04;10.33;24/12/2011
741.12;;268.71;;;16.69;13.16;25/01/2011
737.76;15.86;170.02;;;6.69;17.27;25/02/2011
736.16;17.28;199.81;;;5.9;24.54;25/03/2011
731.82;29.87;201.72;;;4.53;31.04;25/04/2011
728.57;10.31;303.68;;;2.04;35.37;25/05/2011
725.1;3.55;122.53;;;3.53;32.24;25/06/2011
731.82;32.01;79.09;;;1.79;29.36;25/07/2011
731.31;38.95;86.69;;;3.18;29.35;25/08/2011
733.45;27.82;143.79;;;3.92;28.1;25/09/2011
737.48;31.76;350.31;;;6.18;23.89;25/10/2011
740.14;187.92;239.45;;;25.41;19.03;25/11/2011
720.1;122.11;320.44;;;6.67;5.79;25/12/2011
743.09;;182.93;;;22.21;14.98;26/01/2011
739.22;13.45;122.41;;;5.52;16.92;26/02/2011
735.99;20.52;195.44;;;5.17;25.13;26/03/2011
733.5;12.04;312.17;;;4.55;28.96;26/04/2011
730.66;6.9;151.75;;;1.93;31.74;26/05/2011
726.37;2.34;70.2;;;2.97;27.56;26/06/2011
732.11;43.35;88.87;;;1.71;30.7;26/07/2011
731.21;44.97;83.12;;;3.2;28.93;26/08/2011
733.56;33.45;151.97;;;4.07;28.18;26/09/2011
738.78;23.83;312.86;;;4.99;23.13;26/10/2011
739.2;165.45;294.24;;;5.99;18.54;26/11/2011
370.01;153.83;380.01;;;8.16;3.87;26/12/2011
743.01;15.18;200.01;;;15.44;11.54;27/01/2011
742.26;9.24;128.93;;;6.3;17.03;27/02/2011
735.0;17.05;187.38;;;4.85;26.48;27/03/2011
733.36;10.17;144.65;;;3.83;28.97;27/04/2011
732.24;10.3;111.88;;;1.88;30.11;27/05/2011
725.49;15.84;108.78;;;17.78;28.4;27/06/2011
729.33;43.89;86.66;;;1.7;29.31;27/07/2011
730.8;36.71;75.28;;;3.37;29.2;27/08/2011
733.11;35.18;133.28;;;3.93;27.91;27/09/2011
738.54;19.91;252.06;;;5.76;21.62;27/10/2011
739.21;186.73;387.1;;;8.29;18.51;27/11/2011
697.27;185.14;476.79;;;9.59;12.83;27/12/2011
741.07;12.97;215.76;;;18.52;12.0;28/01/2011
741.63;7.88;118.13;;;5.89;16.08;28/02/2011
733.58;20.85;226.97;;;7.89;27.38;28/03/2011
731.16;19.71;203.08;;;3.84;31.95;28/04/2011
730.88;11.54;192.66;;;1.89;32.09;28/05/2011
725.38;30.12;13.01;;;4.91;30.6;28/06/2011
727.95;33.83;62.35;;;1.83;28.8;28/07/2011
730.44;30.84;53.79;;;3.21;30.64;28/08/2011
733.21;30.24;123.56;;;4.01;27.84;28/09/2011
738.56;28.89;232.35;;;10.03;21.2;28/10/2011
738.24;104.82;303.41;;;6.18;17.78;28/11/2011
723.28;163.2;578.35;;;13.08;12.4;28/12/2011
739.63;13.24;290.2;;;18.91;12.99;29/01/2011
734.12;5.55;174.52;;;6.39;26.29;29/03/2011
730.97;19.06;348.1;;;4.1;32.67;29/04/2011
730.42;10.32;226.0;;;2.23;33.36;29/05/2011
725.46;11.83;48.75;;;8.21;28.07;29/06/2011
728.95;33.03;58.61;;;1.39;29.82;29/07/2011
731.1;31.9;60.16;;;2.82;31.26;29/08/2011
733.68;35.17;112.58;;;2.59;27.61;29/09/2011
738.39;34.24;331.3;;;11.32;21.76;29/10/2011
737.82;80.26;245.28;;;4.73;17.8;29/11/2011
625.09;73.38;369.96;;;4.79;9.13;29/12/2011
741.02;32.1;350.5;;;15.8;14.93;30/01/2011
735.96;7.92;145.42;;;5.77;25.49;30/03/2011
732.18;20.72;375.49;;;3.81;32.85;30/04/2011
729.44;4.78;113.9;;;2.14;32.33;30/05/2011
726.04;3.4;70.11;;;5.85;28.85;30/06/2011
727.78;50.96;129.38;;;1.88;30.48;30/07/2011
731.34;37.55;65.31;;;4.63;30.88;30/08/2011
734.43;38.17;110.02;;;1.21;27.34;30/09/2011
736.91;32.7;344.87;;;8.32;21.4;30/10/2011
738.12;112.35;223.07;;;6.23;17.03;30/11/2011
720.65;57.66;302.67;;;;10.29;30/12/2011
742.03;33.05;231.85;;;2.97;13.56;31/01/2011
735.58;8.6;157.48;;;5.86;25.04;31/03/2011
726.76;4.37;179.73;;;2.01;32.63;31/05/2011
726.76;38.93;107.58;;;1.31;31.82;31/07/2011
730.72;32.79;61.51;;;7.46;31.45;31/08/2011
737.07;39.4;358.04;;;10.08;22.0;31/10/2011
650.98;73.55;431.65;;;;9.85;31/12/2011
690.32;69.4;268.55;;;;15.48;01/01/2012
742.84;56.13;218.6;;;2.99;13.54;01/02/2012
734.09;212.26;239.93;;;4.68;20.1;01/03/2012
758.6;75.66;157.24;;;19.68;29.23;01/04/2012
753.9;10.43;98.23;;;4.71;28.75;01/05/2012
756.13;36.36;141.86;;;5.52;36.92;01/06/2012
757.1;;134.61;;;4.97;37.73;01/07/2012
754.64;;101.38;;;;27.81;01/08/2012
757.61;;136.99;;;3.07;30.67;01/09/2012
759.17;;269.2;;;17.56;21.02;01/11/2012
760.33;;150.38;;;9.05;14.04;01/12/2012
714.1;54.79;213.89;;;;14.21;02/01/2012
741.94;62.82;208.28;;;4.27;13.67;02/02/2012
733.6;100.06;213.32;;;5.79;20.77;02/03/2012
755.78;13.67;141.47;;;5.14;30.79;02/05/2012
755.83;22.9;148.63;;;3.76;35.48;02/06/2012
751.66;;154.19;;;4.51;36.53;02/07/2012
752.44;;116.76;;;2.38;31.71;02/08/2012
748.44;;114.57;;;3.79;29.79;02/09/2012
758.48;;;;;10.55;20.84;02/11/2012
761.4;;193.4;;;6.95;13.3;02/12/2012
701.71;69.08;274.97;;;7.53;10.84;03/01/2012
741.58;59.12;245.66;;;5.27;15.54;03/02/2012
733.45;59.92;151.91;;;21.89;19.2;03/03/2012
760.52;83.43;261.3;;;34.17;34.83;03/04/2012
758.16;18.56;232.02;;;4.6;30.53;03/05/2012
755.11;22.19;100.57;;;2.35;32.2;03/06/2012
755.04;;138.27;;;3.57;34.26;03/07/2012
753.88;;190.84;;;1.53;31.88;03/08/2012
754.92;;51.35;;;6.89;29.42;03/09/2012
758.23;;203.48;;;11.6;31.96;03/10/2012
758.22;;;;;10.87;21.27;03/11/2012
761.72;;218.27;;;2.54;13.29;03/12/2012
483.95;72.98;290.07;;;8.03;6.73;04/01/2012
738.22;66.73;245.45;;;4.9;17.17;04/02/2012
760.51;57.24;226.42;;;33.18;34.85;04/04/2012
756.84;30.49;220.92;;;6.14;30.82;04/05/2012
755.41;16.75;108.08;;;2.94;33.09;04/06/2012
755.14;;94.72;;;2.74;32.46;04/07/2012
754.0;;122.2;;;2.68;30.21;04/08/2012
760.97;;72.64;;;7.61;28.6;04/09/2012
759.78;;110.72;;;2.07;28.1;04/10/2012
758.37;;;;;24.48;20.64;04/11/2012
760.96;;220.79;;;5.56;13.49;04/12/2012
717.59;75.53;202.4;;;5.5;14.22;05/01/2012
739.71;43.65;234.76;;;3.76;16.81;05/02/2012
760.51;28.94;190.02;;;27.9;34.85;05/04/2012
760.76;13.03;120.76;;;3.93;32.21;05/05/2012
756.18;18.21;102.16;;;2.57;31.44;05/06/2012
756.21;;138.75;;;2.11;31.45;05/07/2012
751.6;;89.0;;;1.43;30.65;05/08/2012
761.7;;73.21;;;3.24;30.1;05/09/2012
761.53;;74.42;;;10.34;27.95;05/10/2012
747.86;;2.65;;;23.27;21.74;05/11/2012
760.47;;184.05;;;10.14;14.17;05/12/2012
724.63;41.25;107.92;;;4.48;13.44;06/01/2012
740.43;34.71;169.11;;;3.98;14.9;06/02/2012
760.51;39.56;157.68;;;28.6;34.85;06/04/2012
757.44;18.34;77.99;;;3.39;30.59;06/06/2012
756.71;;106.27;;;2.67;27.03;06/07/2012
757.52;;91.1;;;1.41;30.82;06/08/2012
761.97;;57.18;;;2.47;29.68;06/09/2012
761.24;;177.09;;;13.74;28.95;06/10/2012
758.93;;128.55;;;7.52;20.04;06/11/2012
760.5;;190.89;;;2.07;8.92;06/12/2012
673.21;42.57;93.7;;;3.54;12.88;07/01/2012
739.03;42.9;160.9;;;4.44;12.63;07/02/2012
548.82;64.64;201.07;;;4.69;23.59;07/03/2012
754.57;42.56;219.92;;;59.88;32.26;07/04/2012
760.16;19.42;206.56;;;3.22;35.58;07/05/2012
757.71;30.3;142.52;;;3.79;31.96;07/06/2012
757.1;;53.61;;;2.11;24.25;07/07/2012
757.65;;68.97;;;1.28;29.29;07/08/2012
761.37;;50.96;;;1.87;28.62;07/09/2012
759.0;;569.82;;;;32.69;07/10/2012
754.56;;402.45;;;15.29;21.19;07/11/2012
696.54;38.77;136.29;;;4.76;12.37;08/01/2012
738.28;33.5;143.99;;;5.48;12.75;08/02/2012
;24.27;320.38;;;7.43;;08/03/2012
755.28;40.02;283.09;;;67.63;28.95;08/04/2012
761.24;28.73;247.96;;;4.36;33.12;08/05/2012
758.45;;124.19;;;3.25;32.4;08/06/2012
757.27;;52.7;;;2.7;26.5;08/07/2012
757.63;;50.55;;;1.61;28.68;08/08/2012
761.91;;39.9;;;2.15;24.31;08/09/2012
758.44;;431.65;;;;32.43;08/10/2012
757.29;;638.02;;;75.23;21.32;08/11/2012
755.71;;354.35;;;42.52;13.36;08/12/2012
714.25;42.71;138.2;;;4.36;9.87;09/01/2012
740.29;51.44;201.85;;;5.33;11.12;09/02/2012
;33.18;292.46;;;10.87;;09/03/2012
755.18;23.74;224.19;;;54.93;29.55;09/04/2012
759.75;39.07;235.07;;;4.31;33.02;09/05/2012
757.73;;131.91;;;3.65;33.19;09/06/2012
759.08;;65.74;;;2.29;29.07;09/07/2012
756.69;;81.62;;;;27.79;09/08/2012
761.94;;58.32;;;2.5;22.75;09/09/2012
757.45;;295.31;;;;32.25;09/10/2012
757.54;;498.26;;;25.14;22.06;09/11/2012
755.75;;218.96;;;26.27;16.43;09/12/2012
724.14;51.27;217.84;;;6.39;9.98;10/01/2012
739.62;62.19;186.06;;;5.59;12.51;10/02/2012
754.97;26.42;239.44;;;19.29;26.83;10/04/2012
762.69;59.52;348.99;;;5.38;30.23;10/05/2012
756.12;;143.42;;;2.67;34.13;10/06/2012
759.61;;66.94;;;2.74;27.57;10/07/2012
756.46;;72.25;;;;29.15;10/08/2012
760.6;;125.48;;;7.95;31.75;10/09/2012
758.29;;468.29;;;;32.59;10/10/2012
759.0;;210.77;;;;23.94;10/11/2012
755.3;;281.28;;;33.75;17.63;10/12/2012
671.23;60.0;234.75;;;7.14;9.42;11/01/2012
739.39;61.61;203.39;;;5.13;13.39;11/02/2012
737.79;66.49;146.67;;;10.39;21.38;11/03/2012
754.88;22.72;265.64;;;2.63;25.79;11/04/2012
756.48;;237.51;;;3.88;33.33;11/06/2012
759.81;;53.19;;;2.37;27.84;11/07/2012
756.74;;68.38;;;;28.23;11/08/2012
760.91;;88.88;;;5.91;30.12;11/09/2012
758.78;;535.49;;;;30.49;11/10/2012
758.64;41.35;190.85;;;18.86;23.34;11/11/2012
757.39;;207.54;;;24.91;15.67;11/12/2012
674.91;61.74;244.74;;;6.58;7.93;12/01/2012
737.99;54.72;186.24;;;6.31;17.68;12/02/2012
737.93;78.22;153.92;;;11.2;21.62;12/03/2012
755.64;19.43;114.16;;;3.6;24.9;12/04/2012
757.1;;196.47;;;7.29;33.59;12/06/2012
759.33;;45.17;;;2.38;28.43;12/07/2012
757.25;;37.61;;;;30.13;12/08/2012
698.71;;109.18;;;4.46;30.32;12/09/2012
759.4;34.04;223.09;;;14.4;23.37;12/11/2012
761.57;;132.83;;;15.94;15.59;12/12/2012
629.15;43.94;257.35;;;8.19;8.86;13/01/2012
736.72;105.33;189.24;;;4.78;17.97;13/02/2012
738.94;37.52;100.7;;;10.38;19.99;13/03/2012
755.77;24.4;127.09;;;5.47;25.91;13/04/2012
757.86;;183.83;;;4.05;34.69;13/06/2012
757.92;;61.03;;;3.9;29.96;13/07/2012
756.41;;47.11;;;3.01;28.46;13/08/2012
694.96;;102.96;;;5.18;;13/09/2012
760.74;52.65;371.43;;;33.79;22.1;13/11/2012
683.92;24.78;231.48;;;7.32;12.79;14/01/2012
739.17;95.0;267.4;;;6.9;16.49;14/02/2012
741.01;48.3;179.03;;;14.48;16.81;14/03/2012
757.42;34.29;171.59;;;5.62;24.0;14/04/2012
760.68;55.2;229.47;;;3.05;29.1;14/05/2012
757.68;;125.25;;;6.03;34.99;14/06/2012
757.04;;75.59;;;3.43;29.42;14/07/2012
756.46;;44.37;;;2.49;27.73;14/08/2012
694.66;;47.59;;;5.95;;14/09/2012
756.34;20.62;427.17;;;23.33;28.36;14/11/2012
764.62;;83.98;;;10.08;19.41;14/12/2012
724.23;28.13;248.17;;;11.4;16.73;15/01/2012
739.21;56.56;139.43;;;5.72;14.47;15/02/2012
757.93;28.5;129.91;;;12.48;24.82;15/04/2012
760.92;59.85;224.35;;;4.42;30.21;15/05/2012
756.42;;152.15;;;8.74;34.88;15/06/2012
756.81;;137.71;;;2.52;32.34;15/07/2012
757.55;;32.11;;;2.75;27.74;15/08/2012
691.61;;36.81;;;6.03;0.01;15/09/2012
758.89;;243.04;;;4.18;37.1;15/10/2012
758.84;;314.23;;;40.49;29.87;15/11/2012
765.06;;167.59;;;20.11;17.71;15/12/2012
735.4;18.21;119.54;;;6.31;15.66;16/01/2012
739.31;80.56;145.77;;;4.58;11.62;16/02/2012
756.13;27.29;191.99;;;14.53;27.88;16/04/2012
758.48;66.6;191.99;;;5.78;32.33;16/05/2012
754.46;115.99;254.82;;;3.47;35.55;16/06/2012
758.34;;75.82;;;1.41;32.03;16/07/2012
758.21;;40.39;;;2.44;27.75;16/08/2012
694.62;;91.45;;;3.88;;16/09/2012
760.45;;104.3;;;3.91;33.01;16/10/2012
758.84;;309.36;;;18.2;29.87;16/11/2012
766.39;;178.04;;;21.36;17.64;16/12/2012
714.63;13.81;141.22;;;3.69;10.11;17/01/2012
734.65;107.5;208.53;;;16.7;28.41;17/03/2012
755.76;7.48;62.18;;;12.33;24.64;17/04/2012
758.76;47.35;412.74;;;3.39;31.57;17/05/2012
753.54;57.08;247.59;;;8.08;37.42;17/06/2012
758.19;;74.91;;;1.4;33.52;17/07/2012
758.26;;86.89;;;2.95;29.56;17/08/2012
706.65;;112.38;;;3.67;31.13;17/09/2012
760.27;;61.15;;;6.44;32.37;17/10/2012
765.71;;136.86;;;16.42;16.24;17/12/2012
652.77;10.18;141.32;;;4.19;7.67;18/01/2012
740.12;135.58;215.7;;;5.26;18.68;18/02/2012
735.99;170.09;295.2;;;23.27;25.66;18/03/2012
760.56;36.52;517.42;;;3.6;32.46;18/05/2012
755.26;46.27;145.77;;;3.05;32.61;18/06/2012
755.03;;52.94;;;3.34;34.98;18/07/2012
757.97;;79.81;;;3.27;31.21;18/08/2012
759.08;;35.13;;;5.08;32.13;18/09/2012
759.89;;220.64;;;9.9;31.67;18/10/2012
762.28;;125.79;;;11.15;16.43;18/12/2012
658.77;13.73;193.63;;;6.48;8.65;19/01/2012
739.21;111.56;206.3;;;6.07;16.08;19/02/2012
761.57;26.4;281.36;;;4.01;32.86;19/05/2012
754.89;;157.28;;;2.31;34.9;19/06/2012
753.9;;51.45;;;1.44;36.92;19/07/2012
757.8;;101.7;;;2.85;30.65;19/08/2012
759.84;;133.92;;;9.53;31.82;19/10/2012
759.4;;129.29;;;9.0;15.36;19/12/2012
700.0;14.66;329.66;;;5.76;8.33;20/01/2012
738.5;148.41;171.8;;;5.03;13.91;20/02/2012
757.99;6.95;198.69;;;27.48;34.0;20/04/2012
760.69;35.3;225.27;;;4.41;32.42;20/05/2012
753.71;;257.99;;;3.69;36.07;20/06/2012
755.82;;65.69;;;3.79;33.7;20/07/2012
751.0;;52.71;;;2.48;29.32;20/08/2012
758.88;;91.64;;;3.55;33.07;20/09/2012
759.58;;;;;;28.29;20/10/2012
759.11;;158.26;;;2.62;14.26;20/12/2012
740.3;15.45;218.4;;;5.4;10.66;21/01/2012
733.86;291.95;181.65;;;6.29;23.48;21/02/2012
736.64;48.47;582.43;;;12.92;23.14;21/03/2012
760.11;44.46;201.98;;;3.42;33.36;21/05/2012
754.84;;237.59;;;5.63;35.23;21/06/2012
758.01;;142.21;;;4.18;31.58;21/07/2012
758.32;;49.0;;;4.57;27.38;21/08/2012
758.18;;108.4;;;3.47;34.15;21/09/2012
760.13;;158.86;;;5.69;14.18;21/12/2012
740.16;16.66;260.17;;;6.46;10.72;22/01/2012
735.16;334.07;215.57;;;6.24;21.42;22/02/2012
736.57;48.08;534.68;;;14.09;22.88;22/03/2012
746.42;7.58;132.84;;;2.21;30.65;22/04/2012
759.72;58.76;173.33;;;5.52;33.7;22/05/2012
757.71;;160.94;;;1.62;35.45;22/06/2012
756.79;;82.53;;;6.56;32.5;22/07/2012
758.55;;45.47;;;4.79;27.47;22/08/2012
758.42;;142.29;;;5.11;34.63;22/09/2012
740.51;16.14;261.19;;;7.41;12.31;23/01/2012
736.53;107.66;217.84;;;7.31;18.88;23/02/2012
736.81;58.04;380.65;;;20.06;22.52;23/03/2012
754.29;16.49;156.6;;;4.07;28.17;23/04/2012
759.48;53.77;159.04;;;5.69;33.43;23/05/2012
757.12;;153.67;;;2.02;35.6;23/06/2012
754.17;;83.86;;;4.98;32.99;23/07/2012
759.34;;41.87;;;5.29;27.72;23/08/2012
757.74;;149.84;;;5.4;34.82;23/09/2012
740.34;14.58;198.86;;;5.52;12.53;24/01/2012
737.16;119.95;239.77;;;7.19;17.0;24/02/2012
738.09;53.55;290.07;;;15.33;23.14;24/03/2012
757.86;51.83;254.51;;;4.84;33.9;24/05/2012
755.8;;244.85;;;5.21;36.06;24/06/2012
753.17;;163.93;;;5.84;33.35;24/07/2012
759.08;;50.41;;;6.08;27.08;24/08/2012
757.78;;132.25;;;3.74;34.64;24/09/2012
760.14;;282.04;;;6.67;12.29;24/12/2012
740.0;17.27;192.09;;;6.83;14.17;25/01/2012
737.9;120.8;184.49;;;5.59;15.57;25/02/2012
736.87;60.76;278.74;;;22.92;23.72;25/03/2012
756.19;37.4;153.26;;;11.13;34.58;25/04/2012
757.16;47.11;205.93;;;6.85;34.47;25/05/2012
756.9;;278.45;;;1.23;36.13;25/06/2012
755.63;;87.26;;;6.03;30.8;25/07/2012
759.54;;46.26;;;7.23;26.12;25/08/2012
758.59;;114.96;;;3.86;33.24;25/09/2012
760.29;;184.85;;;4.56;9.84;25/12/2012
740.65;15.54;176.73;;;7.2;13.69;26/01/2012
737.35;108.04;229.06;;;6.26;15.23;26/02/2012
736.05;90.7;276.58;;;30.97;26.23;26/03/2012
756.39;23.71;192.63;;;8.97;30.36;26/04/2012
758.53;40.97;314.85;;;3.42;35.26;26/05/2012
757.25;;323.19;;;;35.44;26/06/2012
756.24;;68.47;;;6.01;30.03;26/07/2012
759.2;;72.72;;;3.81;27.54;26/08/2012
760.95;;116.54;;;4.91;28.43;26/09/2012
760.23;;169.63;;;10.39;11.14;26/12/2012
740.05;9.24;203.23;;;11.39;12.65;27/01/2012
